tweet,user,location,date
@cta got folks smoking a joint on the train again.  Don't really care if people smoke weed in private but I really… https://t.co/lnpUZwGFj6,BillG_933,,2019-11-08 11:49:19
@ChicagoDOT @cta Chicago Ave needs an Express bus. 66 and an x66. It's insane how slow and crowded this bus is all the time.,FreeCaviar,,2019-11-08 10:59:39
@fossilplants @BotanyRNG @drmgoeswild @RNGherb @readingbotany @SteveBlackm0re More plants on the @cta would be a good thing 😎,Dav_Coulter,"Oak Park, Illinois USA",2019-11-08 10:22:05
RT @cta: [Normal Service*] Forest Park-bound Blue Line service has resumed making normal stops at Division station after the early completi…,transit_tweets,,2019-11-08 10:05:49
RT @cta: [Normal Service*] Forest Park-bound Blue Line service has resumed making normal stops at Division station after the early completi…,WBBM780Traffic,"Chicago, IL",2019-11-08 09:56:09
RT @cta: [Normal Service*] Forest Park-bound Blue Line service has resumed making normal stops at Division station after the early completi…,CTABlueLn,"Chicago, IL",2019-11-08 09:56:06
"RT @cta: [Minor Delays, Station(s) Bypassed] Brown Line trains are running, but have continued to not stop at Irving Park station due to a…",transit_tweets,,2019-11-08 08:48:46
@cta is it possible to encourage people not to crowd the front of the door where you put packages. On Tuesday durin… https://t.co/i7WfJpBBOo,marcloveless,Chicago ,2019-11-08 08:07:48
@ChicagoDOT @cta Make the police enforce this bus and bike lane please or put cameras up ASAP,HoltJavon,"Chicago, IL",2019-11-08 07:56:54
RT @cta: [Normal Service*] Normal serv on the Brown Line has resumed w/trains making all regular stops. Serv was temp disrupted &amp; due to an…,transit_tweets,,2019-11-08 07:53:18
RT @cta: [Normal Service*] Normal serv on the Brown Line has resumed w/trains making all regular stops. Serv was temp disrupted &amp; due to an…,WBBM780Traffic,"Chicago, IL",2019-11-08 07:46:08
@Mchandler07 @ChicagoDOT @activetrans @cta Why do progressives love Regressive taxes?,LionoftheSenate,,2019-11-08 07:26:18
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,RideFreeArea,CLE,2019-11-08 06:07:11
@ChicagoDOT @cta Halsted please,hustler606,"Chicago, IL",2019-11-08 05:47:05
"RT @cta: [Minor Delays, Station(s) Bypassed] Brown Line trains are running, but have continued to not stop at Irving Park station due to a…",huskeeman82,"Chicago, IL",2019-11-08 05:45:50
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,dueynetsell,Midtown KCMO,2019-11-08 05:25:24
"RT @AnneKPIX: Know a great teacher in the Bay Area? Let me know!
Educator Appreciation Week is coming up and our @JackieKPIX is looking for…",Piner_Principal,"Santa Rosa, CA",2019-11-08 05:21:25
@CWBChicago @cta Sounds about right...@Cook_Dan40,StephanieC138,"Chicago, IL",2019-11-08 05:14:22
"@ChicagoDOT @cta Please enforce it - maintain the integrity of the lane. Plus, the city will make mad revenue from… https://t.co/Su3tDtoDj8",TheMightyAlbu,,2019-11-08 05:12:09
"Me: :(

@cta bus: SEASONS GREETINGS

Me: :)",bigmoonenergy,"Chicago, IL",2019-11-08 05:06:54
RT @cta: [Significant Delays] Purple Line trains are running w/residual delays and congestion following earlier signal problems near Linden…,transit_tweets,,2019-11-08 04:59:22
Asking @cta to dismantle capitalism https://t.co/5UMtKl0y2m,MOFFITW,"uptown, chi-city ✶✶✶✶",2019-11-08 04:59:00
RT @cta: [Significant Delays] Purple Line trains are running w/residual delays and congestion following earlier signal problems near Linden…,PiaBizLaw,"Newport Beach, CA",2019-11-08 04:51:45
RT @cta: [Significant Delays] Purple Line trains are running w/residual delays and congestion following earlier signal problems near Linden…,huskeeman82,"Chicago, IL",2019-11-08 04:51:11
RT @cta: [Significant Delays] Purple Line trains are running w/residual delays and congestion following earlier signal problems near Linden…,WBBM780Traffic,"Chicago, IL",2019-11-08 04:51:06
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,cjdjam,"West Chester, OH",2019-11-08 04:40:02
@ChicagoDOT @cta Badly need this at Chicago and Larrabee as well,SamCarlson2345,"Chicago, IL",2019-11-08 04:39:10
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,NickAddamo,"Washington, DC",2019-11-08 04:35:09
@ChicagoDOT @cta Yeah High Priorities there CDOT,Tata13Red,,2019-11-08 04:12:03
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between Racine and Jackson https://t.co/bGjoA5RnGu",transit_tweets,,2019-11-08 04:10:08
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,thelowedown,Carrot Top City,2019-11-08 04:06:46
RT @CWBChicago: Dispatch: Assault in progress... @Cta calling. Clark and Lake Blue Line. Female in a wheelchair is throwing feces at people…,majormarginal,"Onarga Falls, Illinois",2019-11-08 04:05:34
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,MexicanPink,❤YoConAMLO❤#RedAMLO #RedAMLOVE,2019-11-08 04:01:03
"RT @cta: [Planned Work] Blue Line: Now thru 4am, Boarding Change, Delays Between Racine and Jackson https://t.co/bGjoA5RnGu",CTABlueLn,"Chicago, IL",2019-11-08 04:00:07
"Bro @cta lake red line station smells like shit, ass and dead rat fo real get glade or some shit",TinaDuckbill,Your heart,2019-11-08 03:49:11
RT @Air_Ric92: @cta @lorenzosorice Lmao y’all called that a 15 minute delay 😂😂,transit_tweets,,2019-11-08 03:23:11
@ChicagoDOT @cta Love you,maddillo,Under a rock,2019-11-08 03:16:57
RT @byldonovan: Just announced to my seat mate on the @cta Brown Line that we would be getting up and giving our seats to the couple standi…,jnoelmac,"Chicago, IL",2019-11-08 03:14:44
RT @macsweeper: I swear to god if another @cta employee asks me what my disability is before they allow me to access to the bus with my sup…,R3dVelvetWaffl3,"South Carolina, USA",2019-11-08 03:06:10
"@tacky_blue_suit @cta A few things.
Dead person on tracks
Drunk person
High person

Rarely actual sick person.

If… https://t.co/9pboljjlX7",curtis_gl,"Chicago, IL",2019-11-08 03:05:47
@ChicagoDOT @cta Milwaukee and chicago,Antoine75538009,,2019-11-08 03:05:28
@PrattKap @Mchandler07 @ChicagoDOT @activetrans @cta I saw the word Paris but saying it would work on Mi Ave becaus… https://t.co/65vPZnK6UI,tallboy66,"Chicago, Illiinois",2019-11-08 03:04:07
@macsweeper @cta let me come get them https://t.co/6XJSr9sGYF,kelseybuckles,chicago!!!,2019-11-08 03:03:46
"RT @swordearring: hey people who handle the @cta twitter, sorry you have folks shouting at you all the time when the social media team has…",MaxGallegos14,"Chicago, IL",2019-11-08 03:02:15
RT @tripleA325: @cta OK we know there was a sick passenger at Jackson blue line but you’ve now run 3 trains express Damen to Logan Square w…,transit_tweets,,2019-11-08 03:01:52
"RT @cta: [Special Note] Blue Line: Now thru 4am, Logan Square Station Kedzie Avenue Auxiliary Entrance Temporary Closure  https://t.co/GiCr…",CTABlueLn,"Chicago, IL",2019-11-08 03:00:06
"@tallboy66 @Mchandler07 @ChicagoDOT @activetrans @cta I was speaking of Paris, where they are officially shared.  T… https://t.co/tr6BWUheUM",PrattKap,,2019-11-08 02:59:36
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,KevinIrvineChi,"Albany Park, Chicago",2019-11-08 02:58:59
@kelseybuckles @cta it’s not.,macsweeper,,2019-11-08 02:55:34
"@PrattKap @Mchandler07 @ChicagoDOT @activetrans @cta Buses don't share with bikes
They pass you up then squeeze you… https://t.co/x1geTHqEl4",tallboy66,"Chicago, Illiinois",2019-11-08 02:55:16
".@cta , there are no station announcements on Brown Line car 3406.",mikerogalski,,2019-11-08 02:50:28
@macsweeper @cta jesus how the fuck is that allowed,kelseybuckles,chicago!!!,2019-11-08 02:49:21
I swear to god if another @cta employee asks me what my disability is before they allow me to access to the bus wit… https://t.co/SmGltYmQbN,macsweeper,,2019-11-08 02:46:43
RT @lorenzosorice: @cta I love that you don’t inform passagers before swiping their ventra card and provide no way of issuing refunds. Quic…,transit_tweets,,2019-11-08 02:38:46
RT @CJCARL55: @cta FIGURE IT OUT!!,transit_tweets,,2019-11-08 02:34:23
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,LisaNapoles,Paris on the Prairie ,2019-11-08 02:32:17
@cta The inspections clearly aren’t doing much to mitigate the daily door problems.,feentweets,"Chicago, IL",2019-11-08 02:29:45
@cta Why is this still happening?,feentweets,"Chicago, IL",2019-11-08 02:28:39
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,BooksHockey,"Chicago, IL",2019-11-08 02:23:53
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,PettyReactions,"Pettyville, WV",2019-11-08 02:20:32
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,cdempc,"Brookline, MA",2019-11-08 02:07:31
Hey @cta I never got a response to this. Probably another reason this should be privatized good grief. Run just lik… https://t.co/AsQrDnQBRR,PrestonJacobso8,Work. Should be yours too!,2019-11-08 02:06:06
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,Lyndab08,"Chicago, IL",2019-11-08 02:03:42
@cta Please do something about the number of fucking bums riding these buses and trains.  Why must people be subjected to their nonsense?,juan_portela,"Montgomery County, PA",2019-11-08 02:00:22
"Hay @cta. Standing at Cumberland in the blue line. I know there are delays, but do we have to keep the doors wide o… https://t.co/JWsMK95gPm",JasonMcAllister,"Chicago, IL",2019-11-08 01:58:12
@cta come on!,majors_janice,"Oak Forest, IL",2019-11-08 01:49:54
"@AnneKPIX @JackieKPIX @cta Becky Maguire, College Terrace PreSchool, Palo Alto  https://t.co/V2uiw6z5Ww",bemooers,"san jose,ca.",2019-11-08 01:48:09
@cta it’s less than 20 degrees and only 7pm in a major street. How is this okay?! Space the damn buses out so we al… https://t.co/HjRIfLL5nX,shannonbrendel,,2019-11-08 01:47:28
@danjohns7 @cta I think it’s “dawg”,dana_christine,"Lexington, KY",2019-11-08 01:32:50
"@KTuleta Talking on any form on transit should be forbidden. Passengers on the @cta, 👀 at you",Ao487,"Chicago, IL",2019-11-08 01:28:40
@emursemusic @cta Im dying,leeughhhhhhhhh,The Baybuh Lair,2019-11-08 01:27:36
RT @ChicagoDOT: Very excited about the new @CTA #buslane completed on Chicago Avenue at Milwaukee/Ogden. We’ll be using increased ride-hail…,Cornelia656,"St. Louis, Missouri",2019-11-08 01:25:39
RT @cta: [Minor Delays] Kimball-bound Brown and Linden Purple Line Express trains are running w/residual delays following an earlier delay…,transit_tweets,,2019-11-08 01:22:16
"@Mchandler07 @ChicagoDOT @activetrans @cta Need them on Michigan Avenue, where ridership is much higher and the exp… https://t.co/YK3jBROs19",PrattKap,,2019-11-08 01:13:48
@cta @beanslyog I understand exactly why you run trains express but 3 in a row to Logan with no service to Californ… https://t.co/e3cA8d1BQd,tripleA325,"Chicago, IL",2019-11-08 01:13:34
RT @CWBChicago: Dispatch: Assault in progress... @Cta calling. Clark and Lake Blue Line. Female in a wheelchair is throwing feces at people…,huskeeman82,"Chicago, IL",2019-11-08 01:12:08
@swordearring @cta godbless them,bluntkissing,"Chicago, IL",2019-11-08 01:11:30
@DonAustin_PAUSD @CSEA_Now @cta @PaloAltoEduAsc @jdibrienza @paloaltoweekly Excellent! Would love to know about the… https://t.co/QsCTZ2D1fO,jenniferabrams,"Palo Alto, CA, USA",2019-11-08 01:09:26
Hey @cta ur app said the 143 bus was 14min away at 7:15. It just came at 7:52. Wtf???,bears1321,"Chicago, IL",2019-11-08 00:57:45
"@DashBarkHuss @cta The more you do it, the easier it gets. A good rule of thumb is to talk WAY WAY louder than you… https://t.co/P1kTSvc7vs",arcomputingtech,"Hope, AR",2019-11-08 00:53:50
RT @cta: [Major Delays] Loop-bound Orange Line trains are running w/residual delays and congestion following an earlier door problem at Pul…,transit_tweets,,2019-11-08 00:46:16
