Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT283323,5/6/2011 20:20,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT283375,5/6/2011 21:20,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT283723,5/7/2011 3:25,009XX W FULLERTON AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1812,43,08B,1169577,1916141,2011,41.92539845,-87.6523113,"(41.925398449, -87.652311296)",51,21190,68,769,34,16,5,173
HT284512,5/7/2011 15:57,019XX S KEDZIE AVE,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,TRUE,FALSE,1022,24,26,1155336,1890250,2011,41.85464951,-87.70533588,"(41.854649511, -87.705335883)",36,21569,30,202,14,57,21,152
HT265468,4/25/2011 5:30,008XX W GRAND AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1323,27,3,1170874,1903681,2011,41.89117915,-87.64791138,"(41.891179152, -87.647911383)",41,22620,25,522,46,49,15,76
HT284838,5/7/2011 20:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT287605,5/9/2011 17:00,005XX W LAKE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,1212,42,6,1172574,1901698,2011,41.88570024,-87.64172685,"(41.885700244, -87.641726854)",22,4452,29,784,36,45,22,91
HT287761,5/9/2011 15:30,095XX S STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,511,21,6,1177973,1841788,2011,41.72118063,-87.62371719,"(41.721180629, -87.623717187)",31,21546,45,567,43,19,10,250
HT288070,5/9/2011 22:52,015XX N CLYBOURN AVE,031A,ROBBERY,ARMED: HANDGUN,CTA PLATFORM,TRUE,FALSE,1822,43,3,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT282984,5/6/2011 17:00,035XX S WENTWORTH AVE,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,925,3,6,1175522,1881741,2011,41.83087114,-87.63150037,"(41.830871136, -87.631500365)",12,14924,35,296,9,37,23,170
HT288882,5/10/2011 14:25,001XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,113,42,11,1175301,1901735,2011,41.88574103,-87.63171175,"(41.885741029, -87.631711749)",22,14309,38,92,36,42,22,79
HT288948,5/10/2011 15:22,056XX W CORCORAN PL,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1512,29,11,1138861,1902003,2011,41.88721606,-87.76552153,"(41.887216061, -87.765521526)",52,22216,26,618,7,32,25,85
HT289425,5/10/2011 19:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
