Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
HT490964,9/10/2011 22:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT491468,9/11/2011 9:14,015XX N CLYBOURN AVE,820,THEFT,$500 AND UNDER,CTA PLATFORM,TRUE,FALSE,1822,43,6,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT491721,9/11/2011 13:23,007XX S CICERO AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1533,24,3,1144508,1896325,2011,41.87153053,-87.74492681,"(41.871530533, -87.744926805)",36,22216,26,61,14,32,16,143
HT490795,9/10/2011 12:15,002XX S DEARBORN ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,112,42,6,1175965,1899328,2011,41.87912116,-87.62934594,"(41.87912116, -87.62934594)",22,14912,38,92,36,29,22,126
HT491972,9/11/2011 16:35,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT493072,9/12/2011 11:40,046XX N BROADWAY,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167942,1930944,2011,41.966054,-87.6578904,"(41.966053999, -87.657890403)",37,22616,31,241,39,15,5,4
HT493094,9/12/2011 12:10,002XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,711,20,18,1175827,1863196,2011,41.77997505,-87.63093738,"(41.779975054, -87.630937377)",53,21559,66,435,4,11,17,201
HT493419,9/12/2011 15:40,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT493505,9/12/2011 16:20,003XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,123,2,11,1176426,1898846,2011,41.87778814,-87.6276678,"(41.877788135, -87.627667799)",48,14912,38,367,10,29,22,126
HT493494,9/12/2011 16:20,001XX W 33RD ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175704,1883105,2011,41.83460998,-87.63079167,"(41.834609981, -87.630791672)",26,21194,35,376,48,40,23,170
HT493562,9/12/2011 16:45,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,132,2,11,1176452,1897617,2011,41.8744151,-87.62760944,"(41.8744151, -87.627609439)",48,14913,38,92,10,35,22,144
HT493636,9/12/2011 17:25,047XX W LAKE ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,1113,28,6,1144646,1901790,2011,41.88652456,-87.74428244,"(41.886524557, -87.744282439)",11,22216,26,696,23,32,16,90
HT493570,9/12/2011 16:50,019XX S KEDZIE AVE,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1022,24,3,1155336,1890244,2011,41.85463305,-87.70533604,"(41.854633047, -87.705336044)",36,21569,30,202,14,57,21,152
HT490626,9/10/2011 18:00,002XX S STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,113,42,6,1176417,1899156,2011,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,14912,38,92,36,29,22,126
HT493741,9/12/2011 17:40,005XX N STATE ST,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,TRUE,FALSE,1831,42,3,1176273,1903985,2011,41.89189329,-87.6280745,"(41.891893286, -87.628074498)",22,21182,37,669,36,55,14,73
HT494529,9/13/2011 8:45,049XX S WESTERN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PLATFORM,FALSE,FALSE,915,12,14,1161186,1872062,2011,41.80462016,-87.68436817,"(41.80462016, -87.684368169)",29,14924,61,775,3,37,23,115
HT477472,9/2/2011 8:20,0000X W 95TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,634,21,11,1177762,1841949,2011,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,21861,45,187,13,59,20,242
HT486990,9/8/2011 12:58,0000X W 79TH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,CTA PLATFORM,TRUE,FALSE,623,6,18,1177483,1852629,2011,41.75094076,-87.62518522,"(41.750940757, -87.625185222)",31,21554,67,495,32,59,20,228
HT494723,9/13/2011 11:10,0000X W 79TH ST,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,623,6,08B,1177483,1852629,2011,41.75094076,-87.62518522,"(41.750940757, -87.625185222)",31,21554,67,495,32,59,20,228
HT495516,9/13/2011 19:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT495513,9/13/2011 19:20,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT495456,9/13/2011 18:20,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT495431,9/13/2011 18:15,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT495515,9/13/2011 19:00,003XX S STATE ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,CTA PLATFORM,TRUE,FALSE,123,2,08B,1176426,1898846,2011,41.87778814,-87.6276678,"(41.877788135, -87.627667799)",48,14912,38,367,10,29,22,126
HT495621,9/13/2011 20:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT496269,9/14/2011 0:30,008XX N STATE ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,1832,42,6,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT497028,9/14/2011 17:45,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT497033,9/14/2011 18:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT497042,9/14/2011 17:30,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT497208,9/14/2011 20:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT497207,9/14/2011 19:50,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT497229,9/14/2011 20:12,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT496799,9/14/2011 15:50,020XX S PULASKI RD,320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,FALSE,FALSE,1014,24,3,1150033,1889849,2011,41.8536539,-87.72481071,"(41.853653898, -87.724810713)",36,21569,30,753,14,57,21,109
HT497783,9/15/2011 10:39,0000X W CTA 95TH ST LN,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,634,21,18,1177779,1842365,2011,41.72276838,-87.62441036,"(41.722768379, -87.624410361)",18,21554,45,187,13,59,20,242
HT498180,9/14/2011 17:00,087XX S STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,634,21,6,1177810,1847135,2011,41.73585717,-87.62415286,"(41.735857166, -87.624152861)",18,21554,40,428,13,59,20,241
HT498389,9/15/2011 17:00,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT498600,9/15/2011 19:10,001XX W 33RD ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175704,1883105,2011,41.83460998,-87.63079167,"(41.834609981, -87.630791672)",26,21194,35,376,48,40,23,170
HT498439,9/15/2011 17:00,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT498656,9/15/2011 19:35,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT498840,9/15/2011 22:08,001XX N WABASH AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,122,42,11,1176791,1901351,2011,41.88465375,-87.62625185,"(41.884653752, -87.626251847)",22,14309,38,580,36,42,22,88
HT482343,9/5/2011 12:10,003XX S DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,112,2,6,1175985,1898832,2011,41.87775966,-87.62928744,"(41.877759656, -87.629287444)",48,14912,38,92,10,29,22,126
HT499308,9/16/2011 9:00,005XX S KEDZIE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,CTA PLATFORM,FALSE,FALSE,1134,24,2,1155124,1897322,2011,41.8740601,-87.70592431,"(41.874060099, -87.705924314)",36,21572,28,765,14,30,16,140
HT499429,9/16/2011 11:20,016XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1333,27,11,1165537,1901501,2011,41.88531238,-87.66757363,"(41.885312381, -87.667573631)",41,21184,29,579,46,28,15,78
HT498125,9/13/2011 2:00,0000X W VAN BUREN ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,123,2,6,1176101,1898522,2011,41.87690639,-87.62887087,"(41.876906386, -87.628870868)",48,14913,38,92,10,29,22,126
HT499776,9/16/2011 15:00,002XX S DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,113,42,6,1175967,1899285,2011,41.87900312,-87.62933989,"(41.87900312, -87.629339891)",22,14912,38,92,36,29,22,126
HT499899,9/16/2011 16:25,002XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,123,42,11,1176417,1899156,2011,41.878639,-87.62769149,"(41.878638996, -87.627691486)",22,14912,38,92,36,29,22,126
HT499925,9/16/2011 16:45,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1123,28,11,1152291,1901263,2011,41.88493098,-87.71622179,"(41.884930978, -87.716221792)",11,21572,28,176,23,30,16,86
HT500044,9/16/2011 15:15,0000X N DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA PLATFORM,FALSE,FALSE,122,42,11,1175937,1900516,2011,41.88238173,-87.62941297,"(41.882381731, -87.629412971)",22,14310,38,92,36,41,22,93
HT500104,9/16/2011 18:55,011XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,132,2,11,1176517,1895340,2011,41.86816541,-87.62743954,"(41.868165405, -87.62743954)",48,14913,38,12,10,35,22,144
HT500153,9/16/2011 19:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT500249,9/16/2011 20:10,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT500742,9/17/2011 5:53,006XX S STATE ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,CTA PLATFORM,FALSE,FALSE,132,2,3,1176452,1897651,2011,41.8745084,-87.62760841,"(41.874508398, -87.627608412)",48,14913,38,92,10,35,22,144
HT498029,9/7/2011 9:00,003XX S DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,112,2,6,1175985,1898832,2011,41.87775966,-87.62928744,"(41.877759656, -87.629287444)",48,14912,38,92,10,29,22,126
HT493082,9/12/2011 11:44,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1123,28,11,1152291,1901263,2011,41.88493098,-87.71622179,"(41.884930978, -87.716221792)",11,21572,28,176,23,30,16,86
HT500904,9/17/2011 10:00,052XX W LAKE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,1523,28,26,1141557,1902021,2011,41.88721608,-87.75562045,"(41.887216076, -87.755620452)",11,22216,26,674,45,32,25,84
HT495948,9/14/2011 2:30,069XX S STATE ST,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,322,6,08B,1177495,1859111,2011,41.76872783,-87.62494565,"(41.768727829, -87.624945647)",31,22260,67,514,32,11,18,211
HT501665,9/17/2011 19:40,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167916,1930703,2011,41.96539325,-87.65799298,"(41.965393249, -87.657992984)",37,22616,31,241,39,15,5,6
HT501690,9/17/2011 19:40,011XX W WILSON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,2311,46,11,1167916,1930703,2011,41.96539325,-87.65799298,"(41.965393249, -87.657992984)",37,22616,31,241,39,15,5,6
HT501702,9/17/2011 19:45,012XX N CLARK ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1821,42,11,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT503170,9/18/2011 20:10,008XX N MILWAUKEE AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,TRUE,FALSE,1323,27,24,1168732,1905582,2011,41.89644231,-87.65572273,"(41.896442307, -87.655722728)",41,22620,25,109,46,49,15,60
HT503215,9/18/2011 20:49,031XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1331,27,11,1155321,1901050,2011,41.88428615,-87.70510083,"(41.884286154, -87.705100826)",41,21184,28,50,46,28,15,77
HT502516,9/18/2011 11:45,012XX N CLARK ST,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,1821,42,08A,1175314,1908524,2011,41.90437011,-87.63146007,"(41.904370109, -87.631460067)",22,14926,37,17,11,54,14,198
HT503814,9/19/2011 10:40,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT503854,9/19/2011 11:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT503865,9/19/2011 11:00,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1123,28,11,1152291,1901263,2011,41.88493098,-87.71622179,"(41.884930978, -87.716221792)",11,21572,28,176,23,30,16,86
HT498400,9/2/2011 21:30,009XX W BELMONT AVE,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,CTA PLATFORM,FALSE,FALSE,1932,44,04B,1169269,1921430,2011,41.93991842,-87.65328888,"(41.93991842, -87.653288878)",38,4449,57,681,25,22,5,31
HT504556,9/19/2011 17:45,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT470243,8/28/2011 17:20,002XX W 47TH ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,935,3,6,1175476,1873816,2011,41.80912527,-87.63190651,"(41.809125265, -87.631906508)",12,14924,3,224,9,37,23,117
HT504883,9/19/2011 20:45,0000X W 69TH ST,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,731,6,08B,1177279,1859276,2011,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,22260,67,513,32,11,17,201
HT505049,9/19/2011 22:34,002XX N STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,122,42,6,1176327,1901797,2011,41.88588808,-87.62794224,"(41.885888079, -87.627942238)",22,14309,38,580,36,42,22,88
HT505417,9/20/2011 9:55,017XX W POLK ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1224,2,11,1164894,1896489,2011,41.87157271,-87.67007707,"(41.871572705, -87.670077068)",48,21184,29,5,46,28,15,136
HT505334,9/20/2011 9:10,047XX W LAKE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,FALSE,FALSE,1113,28,6,1144646,1901790,2011,41.88652456,-87.74428244,"(41.886524557, -87.744282439)",11,22216,26,696,23,32,16,90
HT506063,9/20/2011 16:30,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT506070,9/20/2011 17:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT506161,9/20/2011 17:40,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT506104,9/20/2011 16:20,001XX W 35TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,924,11,11,1175739,1881773,2011,41.83095408,-87.63070323,"(41.830954079, -87.630703226)",26,14924,35,376,48,40,23,170
HT506157,9/20/2011 17:19,0000X W 87TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,622,21,18,1177608,1847288,2011,41.73628158,-87.6248883,"(41.736281583, -87.624888296)",18,21554,40,1,13,59,20,242
HT506320,9/20/2011 19:00,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT506657,9/21/2011 1:55,005XX S PULASKI RD,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1132,24,08B,1149812,1897228,2011,41.87390705,-87.72543009,"(41.873907046, -87.725430093)",36,21572,27,675,14,30,16,142
HT506663,9/20/2011 19:00,075XX N PAULINA AVE,890,THEFT,FROM BUILDING,CTA PLATFORM,FALSE,FALSE,2422,49,6,1163690,1949963,2011,42.01833361,-87.67298494,"(42.018333613, -87.672984936)",3,21853,10,489,5,9,11,32
HT507007,9/21/2011 10:55,001XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,113,42,11,1175334,1901735,2011,41.88574029,-87.63159057,"(41.885740288, -87.631590568)",22,14309,38,92,36,42,22,79
HT507106,9/19/2011 15:50,0000X W 79TH ST,581,STALKING,AGGRAVATED,CTA PLATFORM,FALSE,TRUE,623,6,08A,1177483,1852629,2011,41.75094076,-87.62518522,"(41.750940757, -87.625185222)",31,21554,67,495,32,59,20,228
HT507710,9/21/2011 17:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT507654,9/21/2011 17:00,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT507984,9/21/2011 20:35,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,132,2,11,1176452,1897617,2011,41.8744151,-87.62760944,"(41.8744151, -87.627609439)",48,14913,38,92,10,35,22,144
HT507986,9/21/2011 20:20,015XX N CLYBOURN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1822,43,11,1170470,1910783,2011,41.91067631,-87.64918707,"(41.910676312, -87.649187069)",51,22620,37,108,11,49,14,199
HT508086,9/21/2011 21:40,0000X W 79TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,TRUE,FALSE,623,6,26,1177483,1852629,2011,41.75094076,-87.62518522,"(41.750940757, -87.625185222)",31,21554,67,495,32,59,20,228
HT507295,9/21/2011 12:45,050XX N CUMBERLAND AVE,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,1614,41,08B,1119317,1932237,2011,41.97051481,-87.83665128,"(41.970514812, -87.83665128)",34,4453,75,181,29,31,12,44
HT508646,9/22/2011 10:55,0000X W CTA 95TH ST LN,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,634,21,11,1177779,1842365,2011,41.72276838,-87.62441036,"(41.722768379, -87.624410361)",18,21554,45,187,13,59,20,242
HT508786,9/22/2011 12:15,003XX N PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,TRUE,FALSE,1114,28,18,1149677,1901564,2011,41.88580814,-87.72581306,"(41.885808136, -87.725813061)",11,21572,27,659,23,30,16,83
HT509059,9/22/2011 14:40,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,28,11,1149512,1901446,2011,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",11,21572,27,659,23,30,16,83
HT509227,9/22/2011 16:30,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,132,2,11,1176452,1897617,2011,41.8744151,-87.62760944,"(41.8744151, -87.627609439)",48,14913,38,92,10,35,22,144
HT509251,9/22/2011 16:30,006XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,132,2,11,1176452,1897617,2011,41.8744151,-87.62760944,"(41.8744151, -87.627609439)",48,14913,38,92,10,35,22,144
HT509278,9/22/2011 16:21,002XX S DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,FALSE,FALSE,113,42,6,1175974,1899115,2011,41.87853647,-87.62931931,"(41.878536473, -87.629319309)",22,14912,38,92,36,29,22,126
HT509581,9/22/2011 19:55,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT509518,9/22/2011 19:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT509570,9/22/2011 20:15,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,FALSE,FALSE,1832,42,11,1176223,1905805,2011,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,21182,37,104,36,6,14,71
HT510361,9/23/2011 10:15,036XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1122,28,11,1151988,1901284,2011,41.88499458,-87.71733391,"(41.884994578, -87.71733391)",11,21572,28,176,23,30,16,82
