,Station_Name,Station_ID,Station_Name_old,ADA,Red,Blue,Green,Brown,Purple,Purple_Express,Yellow,Pink,Orange,Historical_Wards_2003-2015,Zip_Codes,Community_Areas,Census_Tracts,Wards
161,Jackson-Dearborn,40070,Jackson,True,False,True,False,False,False,False,False,False,False,22.0,14912,38.0,92.0,36.0
162,Jackson-State,40560,Jackson,True,True,False,False,False,False,False,False,False,False,48.0,14912,38.0,367.0,10.0
163,Jackson-State,40560,Jackson,True,True,False,False,False,False,False,False,False,False,48.0,14912,38.0,367.0,10.0
164,Jarvis,41190,Jarvis,False,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,357.0,5.0
165,Jarvis,41190,Jarvis,False,True,False,False,False,False,False,False,False,False,3.0,21853,10.0,357.0,5.0
166,Jefferson Park,41280,Jefferson Park,True,False,True,False,False,False,False,False,False,False,20.0,21869,11.0,129.0,50.0
167,Jefferson Park,41280,Jefferson Park,True,False,True,False,False,False,False,False,False,False,20.0,21869,11.0,129.0,50.0
168,Kedzie-Brown,41180,Kedzie,True,False,False,False,True,False,False,False,False,False,2.0,21849,14.0,118.0,20.0
169,Kedzie-Brown,41180,Kedzie,True,False,False,False,True,False,False,False,False,False,2.0,21849,14.0,118.0,20.0
170,Kedzie-Cermak,41040,Kedzie,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,202.0,14.0
171,Kedzie-Cermak,41040,Kedzie,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,202.0,14.0
172,Kedzie-Homan-Forest Park,40250,Kedzie-Homan,True,False,True,False,False,False,False,False,False,False,36.0,21572,28.0,765.0,14.0
173,Kedzie-Homan-Forest Park,40250,Kedzie-Homan,True,False,True,False,False,False,False,False,False,False,36.0,21572,28.0,765.0,14.0
174,Kedzie-Lake,41070,Kedzie,True,False,False,True,False,False,False,False,False,False,41.0,21184,28.0,50.0,46.0
175,Kedzie-Lake,41070,Kedzie,True,False,False,True,False,False,False,False,False,False,41.0,21184,28.0,50.0,46.0
176,Kedzie-Midway,41150,Kedzie,True,False,False,False,False,False,False,False,False,True,49.0,22248,55.0,776.0,8.0
177,Kedzie-Midway,41150,Kedzie,True,False,False,False,False,False,False,False,False,True,49.0,22248,55.0,776.0,8.0
178,Kimball,41290,Kimball,True,False,False,False,True,False,False,False,False,False,2.0,21849,14.0,118.0,20.0
179,Kimball,41290,Kimball,True,False,False,False,True,False,False,False,False,False,2.0,21849,14.0,118.0,20.0
180,King Drive,41140,King Drive,True,False,False,True,False,False,False,False,False,False,53.0,22260,9.0,332.0,4.0
181,King Drive,41140,King Drive,True,False,False,True,False,False,False,False,False,False,53.0,22260,9.0,332.0,4.0
182,Kostner,40600,Kostner,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,753.0,14.0
183,Kostner,40600,Kostner,True,False,False,False,False,False,False,False,True,False,36.0,21569,30.0,753.0,14.0
184,LaSalle,41340,LaSalle,False,False,True,False,False,False,False,False,False,False,48.0,14913,38.0,92.0,10.0
185,LaSalle,41340,LaSalle,False,False,True,False,False,False,False,False,False,False,48.0,14913,38.0,92.0,10.0
186,LaSalle-Van Buren,40160,LaSalle-Van Buren,False,False,False,False,False,False,True,False,True,True,48.0,14913,38.0,92.0,10.0
187,LaSalle-Van Buren,40160,LaSalle-Van Buren,False,False,False,False,True,False,False,False,False,False,48.0,14913,38.0,92.0,10.0
188,Lake-State,41660,Lake,True,True,False,False,False,False,False,False,False,False,22.0,14309,38.0,580.0,36.0
189,Lake-State,41660,Lake,True,True,False,False,False,False,False,False,False,False,22.0,14309,38.0,580.0,36.0
190,Laramie,40700,Laramie,True,False,False,True,False,False,False,False,False,False,11.0,22216,26.0,696.0,23.0
191,Laramie,40700,Laramie,True,False,False,True,False,False,False,False,False,False,11.0,22216,26.0,696.0,23.0
192,Lawrence,40770,Lawrence,False,True,False,False,False,False,False,False,False,False,40.0,22616,31.0,634.0,39.0
